9CA80F98, AbortTradeMessage
B5ABF91A, ErrorMessage
B1CFCE1C, ExecuteConsoleCommand
A348B640, Extent
5235B5E9, FaceTargetAction
D81A2F05, FaceTargetActionTemplate
C1B03B81, FactionRequestMessage
5DD53957, FactionResponseMessage
9C1295B6, FactoryObject
5A8E66A1, FadingTextAppearance
87346891, FatalException
840CDEC3, FileStreamerFile
3CAEFA73, FilterBitmap
C4560EAA, FilterDirection
16290930, FilterFractal
5AE4A5B9, FilterHeight
CCFD73D8, FilterShader
9F8A7796, FilterSlope
1A5956C5, FireProjectileAction
F673A9B0, FireProjectileActionTemplate
1934965B, FireSetupActionTemplate
A1264C50, FireTurretActionTemplate
9259329A, FlagController
1BDB51CC, FloatParam
C18ADA49, Floor
4FB0391, FloorContactShape
D738DDFC, FloorMesh
F9C90327, FloraManager
DCD81BC, FlyByCamera
6EB262F0, Footprint
4CC9006A, ForceFeedbackEffectTemplate
93312B8D, ForceFieldAppearance
6E475BA1, FreeCamera
74ABAACF, FreeChaseCamera
5CF89E70, FuncPtrThreadZero
4E428088, GalaxyLoopTimesResponse
30DEDE38, GameCamera
C61F69A3, GameLight
4D59D173, GameNetworkConnection
D766978D, GameNetworkMessage
5E7B4846, GetArticleMessage
934BAEE0, GetArticleResponseMessage
D36EFAE4, GetAuctionDetails
FE0E644B, GetAuctionDetailsResponse
270A9EC5, GetCommentsMessage
EADB08CA, GetCommentsResponseMessage
1A7AB839, GetMapLocationsMessage
9F80464C, GetMapLocationsResponseMessage
C9A5F98D, GetTicketsMessage
BB567F98, GetTicketsResponseMessage
D1527EE8, GiveMoneyMessage
CC026512, GlowAppearance
3F0325B5, GradientSkyAppearance
A92E1D95, GrenadeLobAction
6227F755, GrenadeLobActionTemplate
4B16B6DF, GroundScene
5C8DADC6, GroupObject
AA7C010, GuildObject
81EB4EF7, GuildRequestMessage
32263F20, GuildResponseMessage
21A2DF70, HardpointObject
F7ED7392, HardpointTargetAction
D0A3A4F9, HardpointTargetActionTemplate
F490CA96, HardwareIndexBuffer
7A450C27, HardwareVertexBuffer
FF8695FB, HomingTargetAction
B0F45C06, HomingTargetActionTemplate
8724ABA9, HyperspaceIoWin
CBF88482, HyperspaceMessage
9C233FD5, ImageDesignChangeMessage
CB0305A2, ImageDesignStartMessage
4EA40329, ImageFormat
E5FD6FB0, InstallationObject
BD701030, IntangibleObject
F0CAE213, IntegerParam
A644E2D4, Intro
AF66872F, IoWin
21B55A3B, IsVendorOwnerMessage
CE04173E, IsVendorOwnerResponseMessage
9C6E6E5A, JgrillsTest
4F64B1E7, KeyframeSkeletalAnimation
32A3FFEE, KeyframeSkeletalAnimationTemplate
42D5E694, LayerProperty
916D9317, Light
A3DACFE0, LightningAppearance
B5A12D36, LightningAppearanceTemplate
249FDC9F, LightsaberAppearance
F08A29F, LightsaberAppearanceTemplate
E1CE7162, LocalizedStringTable
3BE93363, LodMeshGeneratorTemplate
4D1DA7E9, LodShaderTest
33358717, LodSkeletonTemplate
41131F96, LoginClientId
AAB296C6, LoginClientToken
3436AEB6, LoginClusterStatus
FA5B4B5A, LoginClusterStatusEx
88C7E774, LoginConnection
C11C63B9, LoginEnumCluster
20E7E510, LoginIncorrectClientId
AF5F77A2, LogMessage
2BFD2A8A, LogObserver
82F2164C, LookAtTransformModifier
31D4EA02, LotManagerNotification
72473752, MainThread
2308ACFA, ManagerHandler
895DB6BE, ManufactureSchematicObject
6143C72C, MarkerAppearance
81CD852A, MarkerAppearanceTemplate
3B87018B, MaskedPrioritySkeletalAnimation
8B2AC59A, MemoryBlockManagedObject
1B613E36, MemoryFile
D73A75A, MeshAppearance
7C951F04, MeshAppearanceTemplate
C1E15D64, MeshExtent
BB43040E, MeshGenerator
41734766, MeshGeneratorTemplate
71CB3B60, MessageQueueChangeRoleIconChoice
C1A8F513, MessageQueueCombatAction
596FC184, MessageQueueCombatDamage
4BA4A15D, MessageQueueCombatSpam
ECFB66D7, MessageQueueCommandQueueEnqueue
83279572, MessageQueueCommandQueueRemove
DB31FCA, MessageQueueCommandTimer
285DDFA3, MessageQueueCraftCustomization
3215CDCF, MessageQueueCraftEmptySlot
40954991, MessageQueueCraftExperiment
DB334ACD, MessageQueueCraftFillSlot
80AC3909, MessageQueueCraftIngredients
475E7D46, MessageQueueCraftRequestSession
ADFB6C31, MessageQueueCraftSelectSchematic
5FD53644, MessageQueueCyberneticsChangeRequest
F10CDC98, MessageQueueCyberneticsOpen
8F64809, MessageQueueDataTransform
54C4A5DE, MessageQueueDataTransformWithParent
31BFD763, MessageQueueDraftSchematics
C369EBCA, MessageQueueDraftSlots
35DBD59A, MessageQueueDraftSlotsQueryResponse
22593CE1, MessageQueueGeneric
F1034CD7, MessageQueueGenericIntResponse
10935E46, MessageQueueGenericResponse
4D428739, MessageQueueGenericString
3E2C6F42, MessageQueueHarvesterResourceData
85F04B12, MessageQueueMissionCreateRequest
6D8BE281, MessageQueueMissionDetailsRequest
247EAE77, MessageQueueMissionDetailsResponse
263C8721, MessageQueueMissionGenericRequest
8CD6B561, MessageQueueMissionGenericResponse
A10C9185, MessageQueueMissionListRequest
CB8BA18A, MessageQueueMissionListResponse
83289D4D, MessageQueueNetworkId
54DB7053, MessageQueueNetworkIdAndTransform
FB3A111B, MessageQueueNetworkIdPair
F4D19C39, MessageQueueNpcConversationMessage
168FAB13, MessageQueueObjectMenuRequest
11879251, MessageQueueOpponentInfo
B49A6878, MessageQueuePosture
837B7595, MessageQueuePushCreature
5BC3C2F6, MessageQueueQuestTaskCounterMessage
841CBFAC, MessageQueueQuestTaskTimerMessage
8ECA8135, MessageQueueResourceEmptyHopper
A875AF69, MessageQueueResourceWeights
4E88097, MessageQueueSecureTrade
86AD1B50, MessageQueueShipHit
165B33EA, MessageQueueShowCombatText
20274917, MessageQueueShowFlyText
29559C42, MessageQueueSitOnObject
EFB4B689, MessageQueueSlowDownEffect
A2DFCA20, MessageQueueSocial
C739E235, MessageQueueSpaceMiningSellResource
E3F7F2CF, MessageQueueSpatialChat
957BE207, MessageQueueStartNpcConversation
4A1BA3AB, MessageQueueStopNpcConversation
6462AE0, MessageQueueString
A39C89DC, MessageQueueStringList
25B822B9, MessageQueueTeleportAck
7BA65F21, MessageQueueUpdateShipOnCollision
85B97FF9, MessageQueueWeaponRanges
12C4D586, MiningAsteroidController
33179C76, Missile
7E9B0B85, MovementTable
1357A671, MultiListHandle
2A73F3C7, MultiListNode
C90EB44E, NeighborObject
D517B743, NetLogConnection
739D1945, NetLogObserver
15D6B62, NetworkController
4FA82325, NetworkHandler
8829BFD1, NetworkScene
E8DA2FBB, NetworkSetupData
CA375124, NewbieTutorialEnableHudElement
90DD61AF, NewbieTutorialRequest
CA88FBAD, NewbieTutorialResponse
274F4E78, NewTicketActivityMessage
6EA42D80, NewTicketActivityResponseMessage
69CEC3AA, NoBuildNotification
2E5C1C01, NonTrackingProjectile
D7EFF50F, NoRenderAppearance
4810D881, NoRenderAppearanceTemplate
80CE5E46, ObjControllerMessage
CF1D7332, Object
1CE0387, ObjectClientEffect
C9E165F3, ObjectListCamera
93539CF7, ObjectMenuSelectMessage
C0B35CC9, ObjectNotification
6F789951, ObjectTemplate
9AE283F, ObjectWatcherListCamera
7CB65021, OpenHolocronToPageMessage
7D176D65, OutOfBandBase
690D5547, OwnerProxyShader
AF49F0BE, OwnerProxyShaderTemplate
3752CB5A, PaletteColorCustomizationVariable
487652DA, ParametersMessage
4CA4E4F7, Particle
F4C86061, ParticleAttachment
B2286103, ParticleAttachmentDescription
7142E459, ParticleDescription
EBE6077A, ParticleDescriptionMesh
1C8A8DE, ParticleDescriptionQuad
D78D1170, ParticleEffectAppearance
C7C9B6D2, ParticleEffectAppearanceTemplate
5E9E578A, ParticleEmitter
AD8B10D4, ParticleEmitterGroup
7AB6DF6F, ParticleEmitterShape
E25B373A, ParticleEmitterShapeCircle
1814DCFE, ParticleEmitterShapeCube
263DC630, ParticleEmitterShapeLine
55E12036, ParticleEmitterShapeRectangle
16D4820F, ParticleEmitterShapeSphere
9689A2C5, ParticleEmitterShapeX
104F732, ParticleGenerator
C773CD26, ParticleMesh
2D5D6282, ParticleQuad
381BC927, PassthroughPlaybackAction
66C58884, PathEdge
6EAF7250, PathGraph
811F6C82, PathNode
52F364B8, PermissionListCreateMessage
AE2380AB, PersistentCrcString
D25A665B, PlanetAppearance
97A43D0D, PlanetAppearanceTemplate
96405D4D, PlanetTravelPointListRequest
4D32541F, PlanetTravelPointListResponse
238B26A4, PlaybackAction
85658EC, PlaybackActionTemplate
2949E74, PlayClientEffectLocMessage
8855434A, PlayClientEffectObjectMessage
4F5E09B6, PlayClientEffectObjectTransformMessage
A4E222C, PlayClientEventLocMessage
AF83C3F2, PlayClientEventObjectMessage
90302F79, PlayClientEventObjectTransformMessage
282F7C95, PlayerCreatureController
9D105AA1, PlayerMoneyRequest
367E737E, PlayerMoneyResponse
236DD6BC, PlayerObject
ADF9632A, PlayerShipController
DDB82D17, PlayerShipTurretController
4270D8A, PlayMusicMessage
2DA7E8E5, PlayParticleSystemAction
3A676F81, PlayParticleSystemActionTemplate
9D021775, PlaySkeletalAnimationAction
9F632D67, PlaySkeletalAnimationActionTemplate
88D9885C, PopulateMissionBrowserMessage
34641DA9, PortalBarrierAppearance
634423AF, PortalProperty
E64E4865, PositionClientEffect
A4AAEED3, PriorityBlendAnimation
A111F968, PriorityBlendAnimationTemplate
ABBEDE97, ProceduralTerrainAppearance
D4EAA69B, ProceduralTerrainAppearanceTemplate
A0A1CCBC, Projectile
2EE22A7F, ProjectileBeam
CD298CD7, ProjectileDynamics
391B9949, Property
7297DD50, ProxyLocalShaderPrimitive
4195B813, ProxySkeletalAnimationTemplate
6A519E4A, PulseDynamics
391E3857, PushCreatureAction
1E277BF7, PushCreatureActionTemplate
396CEC3D, RangedIntCustomizationVariable
B6F405C7, RefreshCharacterList
E4538537, RemoteCreatureController
38C106EE, RemoteDebug
A4D4C547, RemoteShipController
4417AF8B, RemoveItemMessage
F4DA9690, RenderWorldCamera
9D77B020, RenderWorldCommander
759ADE21, RenderWorldServices
F898E25F, RequestCategoriesMessage
61148FD4, RequestCategoriesResponseMessage
7D842D68, RequestGalaxyLoopTimes
54AC0603, RequestUnstick
E8FE804F, RequestWatchObjectPath
D8CFE8A8, RequestWatchPathMap
2DA0F8B6, ResourceClassObject
BF019B53, ResourceContainerObject
DE9821E6, ResourceHarvesterActivatePageMessage
8A64B1D5, ResourceListForSurveyMessage
B57B2F8A, RespecAuthorizationRequestMessage
6571596C, RespecAuthorizationResponseMessage
17EBE267, RespecRequestMessage
12B0D449, RetrieveAuctionItemMessage
9499EF8C, RetrieveAuctionItemResponseMessage
A38FF790, RibbonAppearance
1D268F43, RibbonTrailAppearance
C1947541, RiderSpineTransformModifier
DA4B37C3, RotationDynamics
43F221B5, Scene
FE89DDEA, SceneCreateObjectByCrc
1F73D501, SceneCreateObjectByName
4D45D504, SceneDestroyObject
2C436037, SceneEndBaselines
962E8B9B, SearchKnowledgeBaseMessage
7CBC8F67, SearchKnowledgeBaseResponseMessage
786D7313, SeesawDynamics
B5098D76, SelectCharacter
2573BD86, ServerProceduralTerrainAppearance
47A9A477, ServerProceduralTerrainAppearanceTemplate
8A0285A0, ServerSpaceTerrainAppearance
70B08499, ServerSpaceTerrainAppearanceTemplate
2EBC3BD9, ServerTimeMessage
486356EA, ServerWeatherMessage
E09CAFBA, Service
526E12B1, SetTextureTest
785A5BCE, Shader
497B7E9E, ShaderAppearance
C0642570, ShaderPrimitive
456FA2BD, ShaderTemplate
1F1EBE79, ShadowBlobObject
5AB12FA6, ShadowVolumeTest
2151347E, SharedBattlefieldMarkerObjectTemplate
61FA46CC, SharedBuildingObjectTemplate
77678D72, SharedCellObjectTemplate
5B525ED6, SharedConstructionContractObjectTemplate
E676DD1F, SharedCreatureObjectTemplate
E2C4956B, SharedDraftSchematicObjectTemplate
718027B9, SharedFactoryObjectTemplate
BF1B3A24, SharedGroupObjectTemplate
78F83909, SharedGuildObjectTemplate
2FB6FB8C, SharedInstallationObjectTemplate
DEBA8FB1, SharedIntangibleObjectTemplate
A17BF24B, SharedManufactureSchematicObjectTemplate
13426D7B, SharedMissionObjectTemplate
637A36BB, SharedObjectTemplate
27ECD373, SharedObjectTemplateClientData
ADDD6EF7, SharedObjectTemplateInterface
95EFF03A, SharedPlayerObjectTemplate
F8A0BAD, SharedRemoteDebugServerConnection
3A1C3F50, SharedResourceContainerObjectTemplate
4ACB4E49, SharedShipObjectTemplate
3514B1D7, SharedStaticObjectTemplate
4C72FCC, SharedTangibleObjectTemplate
B2A8D0D, SharedTerrainSurfaceObjectTemplate
9E5AFA2B, SharedUniverseObjectTemplate
C588E35C, SharedVehicleObjectTemplate
ADB1A6F4, SharedWaypointObjectTemplate
A6CAC0EF, SharedWeaponObjectTemplate
CEEBDF12, ShipChassis
104A94E1, ShipChassisWritable
4C65DBB, ShipComponentData
4924C90E, ShipComponentDataArmor
962AD512, ShipComponentDataBooster
E25CD295, ShipComponentDataBridge
20E7A529, ShipComponentDataCapacitor
867A9208, ShipComponentDataCargoHold
87393E64, ShipComponentDataDroidInterface
28607E8F, ShipComponentDataEngine
FCE23A0F, ShipComponentDataHangar
D9759AAF, ShipComponentDataModification
B1E1E88F, ShipComponentDataReactor
E2AE7E7B, ShipComponentDataShield
16F35CEB, ShipComponentDataTargetingStation
19A56F77, ShipComponentDataWeapon
EF3F4B0D, ShipComponentDescriptor
34DFA0A3, ShipComponentDescriptorWritable
75EF4960, ShipController
794888E8, ShipObject
97BACDDF, ShipObjectDestruction
2C040A6, ShipObjectInterface
83C4915B, ShipProjectile
7A5ACC4C, ShipTurretCamera
763648D0, ShipUpdateTransformCollisionMessage
76026FB9, ShipUpdateTransformMessage
DBE6C731, ShipWeaponBarrelDynamics
54B57F4C, ShowAttachedObjectAction
D599AD27, ShowAttachedObjectActionTemplate
775A1239, SinglePrioritySkeletalAnimation
3BA55953, SkeletalAnimation
8B39FEA0, SkeletalAnimationTemplate
EAEB25A7, SkeletalAppearance2
A23A345D, SkeletalAppearanceBatchRenderer
CA46ACAA, SkeletalAppearanceTemplate
5C5AE326, SkeletalMeshGenerator
9B038FB5, SkeletalMeshGeneratorTemplate
E57413FE, SkeletonTemplate
41081327, SkeletonTemplateTransformNameMap
A2EDE427, SkeletonTransformNameMap
2382A68F, SkillManager
64B386D, SkillObject
2FF452E5, SlopeEffectProperty
6A8EC452, SlotCustomizationVariable
2004D496, SlotRule
7ED71F2E, SlottedContainer
95BC8F0A, SlottedContainmentProperty
29B9A8D4, SlowDownEffectMessage
39C84491, SlowDownProperty
949AF788, SoundTemplate
8618C61E, SpaceDeath
5E5374C0, SpaceTerrainAppearance
F8A9BF8E, SpaceTerrainAppearanceTemplate
4FEB4C1B, SpatialSubdivisionHandle
95127EB7, SpeedSkeletalAnimation
4E7631BE, SpeedSkeletalAnimationTemplate
942BD916, SplitMeshTest
E6369565, SpringDynamics
DD1814FA, SpriteAppearance
B080E80B, SpriteAppearanceTemplate
6B1615B1, StarAppearance
14E88110, StartTrailsAction
D0890ECC, StartTrailsActionTemplate
1F440CE2, StateDynamics
41DBF8D1, StateHierarchyAnimationController
80115134, StaticIndexBuffer
17227F3F, StaticIndexBufferGraphicsData
F43E55F0, StaticObject
EFAC38C4, StatMigrationTargetsMessage
B75DD5D7, StomachRequestMessage
8AA2F91, StopActionTemplate
AD6F6B26, StopClientEffectObjectByLabelMessage
AD43E666, StopTrailsActionTemplate
639C7D92, StringIdParam
776F4A7E, StringParam
AB0A20D0, StringSelectorSkeletalAnimation
3B24F6FB, StringSelectorSkeletalAnimationTemplate
C80D3C2, StructurePlacementCamera
E00CDDBA, SuiClosedOk
4A244058, SuiCreatePage
D44B7259, SuiCreatePageMessage
92D3564, SuiEventNotification
990B5DE0, SuiForceClosePage
9D8905F, SUIMessage
E275798F, SuiSetProperty
5F3342F6, SuiUpdatePageMessage
877F79AC, SurveyMessage
E0248552, Switcher
840A4CF5, SwitcherTemplate
